time	V(n001)	V(n003)	I(C1)	I(C2)	I(R1)
0.000000000000000e+000	1.250000e+002	1.250000e+002	1.250000e-015	1.250000e-015	2.461192e-015
1.734929372157370e-002	1.284116e+002	1.250062e+002	4.848878e-006	6.783443e-006	1.163232e-005
3.469858744314740e-002	1.318147e+002	1.250203e+002	9.674052e-006	1.352743e-005	2.320148e-005
5.204788116472110e-002	1.352092e+002	1.250424e+002	1.447552e-005	2.023195e-005	3.470747e-005
6.939717488629479e-002	1.385951e+002	1.250724e+002	1.925329e-005	2.689701e-005	4.615030e-005
8.674646860786850e-002	1.419724e+002	1.251104e+002	2.400736e-005	3.352262e-005	5.752997e-005
1.040957623294422e-001	1.453411e+002	1.251563e+002	2.873772e-005	4.010876e-005	6.884648e-005
1.214450560510159e-001	1.487013e+002	1.252102e+002	3.344438e-005	4.665545e-005	8.009982e-005
1.800388060510159e-001	1.598812e+002	1.254519e+002	4.901704e-005	6.826678e-005	1.172838e-004
2.386325560510159e-001	1.707658e+002	1.257834e+002	6.404165e-005	8.904173e-005	1.530834e-004
2.972263060510159e-001	1.812630e+002	1.262010e+002	7.839211e-005	1.088074e-004	1.871995e-004
3.558200560510159e-001	1.912840e+002	1.267003e+002	9.194807e-005	1.273995e-004	2.193476e-004
4.144138060510159e-001	2.007438e+002	1.272765e+002	1.045958e-004	1.446636e-004	2.492594e-004
4.730075560510159e-001	2.095624e+002	1.279238e+002	1.162294e-004	1.604563e-004	2.766857e-004
5.316013060510159e-001	2.176652e+002	1.286361e+002	1.267514e-004	1.746470e-004	3.013984e-004
6.194919310510159e-001	2.283290e+002	1.298113e+002	1.402604e-004	1.926763e-004	3.329367e-004
7.073825560510159e-001	2.370264e+002	1.310925e+002	1.508191e-004	2.065068e-004	3.573259e-004
7.952731810510159e-001	2.435920e+002	1.324527e+002	1.582302e-004	2.158843e-004	3.741145e-004
8.831638060510159e-001	2.479008e+002	1.338637e+002	1.623560e-004	2.206397e-004	3.829956e-004
9.710544310510159e-001	2.498708e+002	1.352962e+002	1.631214e-004	2.206912e-004	3.838126e-004
1.058945056051016e+000	2.494646e+002	1.367206e+002	1.605151e-004	2.160468e-004	3.765619e-004
1.146835681051016e+000	2.466898e+002	1.381075e+002	1.545903e-004	2.068034e-004	3.613937e-004
1.234726306051016e+000	2.415993e+002	1.394281e+002	1.454628e-004	1.931454e-004	3.386082e-004
1.322616931051016e+000	2.342899e+002	1.406551e+002	1.333096e-004	1.753410e-004	3.086506e-004
1.410507556051016e+000	2.249007e+002	1.417628e+002	1.183652e-004	1.537373e-004	2.721025e-004
1.469101306051016e+000	2.175726e+002	1.424234e+002	1.069915e-004	1.374283e-004	2.444198e-004
1.527695056051016e+000	2.094608e+002	1.430144e+002	9.460133e-005	1.197561e-004	2.143574e-004
1.586288806051016e+000	2.006340e+002	1.435301e+002	8.130044e-005	1.008726e-004	1.821730e-004
1.644882556051016e+000	1.911669e+002	1.439654e+002	6.720235e-005	8.093988e-005	1.481422e-004
1.703476306051016e+000	1.811398e+002	1.443161e+002	5.242728e-005	6.012905e-005	1.125563e-004
1.762070056051016e+000	1.706374e+002	1.445786e+002	3.710123e-005	3.861847e-005	7.571970e-005
1.820663806051016e+000	1.597487e+002	1.447500e+002	2.135482e-005	1.659245e-005	3.794727e-005
1.849960681051016e+000	1.541882e+002	1.448008e+002	1.336580e-005	5.444984e-006	1.881078e-005
1.879257556051016e+000	1.485658e+002	1.448282e+002	5.322219e-006	-5.760351e-006	-4.381317e-007
1.908554431051016e+000	1.428936e+002	1.448319e+002	-2.758776e-006	-1.699955e-005	-1.975833e-005
1.929480770336730e+000	1.388070e+002	1.448201e+002	-8.559995e-006	-2.505682e-005	-3.361681e-005
1.950407109622445e+000	1.347166e+002	1.447961e+002	-1.434951e-005	-3.308843e-005	-4.743794e-005
1.971333448908159e+000	1.306223e+002	1.447601e+002	-2.012733e-005	-4.109439e-005	-6.122172e-005
1.992259788193873e+000	1.265242e+002	1.447120e+002	-2.589345e-005	-4.907469e-005	-7.496814e-005
2.013186127479588e+000	1.224222e+002	1.446518e+002	-3.164787e-005	-5.702934e-005	-8.867721e-005
2.034112466765301e+000	1.183163e+002	1.445796e+002	-3.739059e-005	-6.495833e-005	-1.023489e-004
2.055038806051016e+000	1.142066e+002	1.444952e+002	-4.312161e-005	-7.286167e-005	-1.159833e-004
2.142929431051016e+000	9.717104e+001	1.440121e+002	-6.668773e-005	-1.052533e-004	-1.719410e-004
2.230820056051016e+000	8.066506e+001	1.433262e+002	-8.921114e-005	-1.360347e-004	-2.252459e-004
2.318710681051016e+000	6.500275e+001	1.424485e+002	-1.102604e-004	-1.646134e-004	-2.748738e-004
2.377304431051016e+000	5.517796e+001	1.417640e+002	-1.232737e-004	-1.821682e-004	-3.054419e-004
2.435898181051016e+000	4.594421e+001	1.410060e+002	-1.353409e-004	-1.983476e-004	-3.336885e-004
2.494491931051016e+000	3.737969e+001	1.401803e+002	-1.463590e-004	-2.130128e-004	-3.593718e-004
2.523788806051016e+000	3.337128e+001	1.397441e+002	-1.514448e-004	-2.197377e-004	-3.711825e-004
2.553085681051016e+000	2.955689e+001	1.392934e+002	-1.562339e-004	-2.260377e-004	-3.822716e-004
2.582382556051016e+000	2.594459e+001	1.388291e+002	-1.607158e-004	-2.318995e-004	-3.926153e-004
2.611679431051016e+000	2.254203e+001	1.383521e+002	-1.648812e-004	-2.373102e-004	-4.021914e-004
2.640976306051016e+000	1.935642e+001	1.378635e+002	-1.687210e-004	-2.422582e-004	-4.109792e-004
2.670273181051016e+000	1.639450e+001	1.373640e+002	-1.722269e-004	-2.467329e-004	-4.189599e-004
2.699570056051016e+000	1.366254e+001	1.368548e+002	-1.753916e-004	-2.507245e-004	-4.261161e-004
2.728866931051016e+000	1.116632e+001	1.363369e+002	-1.782082e-004	-2.542243e-004	-4.324325e-004
2.758163806051016e+000	8.911144e+000	1.358112e+002	-1.806706e-004	-2.572247e-004	-4.378952e-004
2.787460681051016e+000	6.901774e+000	1.352788e+002	-1.827735e-004	-2.597190e-004	-4.424925e-004
2.816757556051016e+000	5.142466e+000	1.347407e+002	-1.845124e-004	-2.617019e-004	-4.462143e-004
2.846054431051016e+000	3.636946e+000	1.341982e+002	-1.858835e-004	-2.631689e-004	-4.490523e-004
2.875351306051016e+000	2.388402e+000	1.336521e+002	-1.868838e-004	-2.641166e-004	-4.510003e-004
2.904648181051016e+000	1.399477e+000	1.331037e+002	-1.875110e-004	-2.645428e-004	-4.520538e-004
2.933945056051016e+000	6.722654e-001	1.325540e+002	-1.877638e-004	-2.644464e-004	-4.522102e-004
2.963241931051016e+000	2.083073e-001	1.320041e+002	-1.876416e-004	-2.638274e-004	-4.514690e-004
2.992538806051016e+000	8.584825e-003	1.314551e+002	-1.871444e-004	-2.626869e-004	-4.498313e-004
3.021835681051016e+000	7.352088e-002	1.309081e+002	-1.862733e-004	-2.610270e-004	-4.473004e-004
3.051132556051016e+000	4.029779e-001	1.303642e+002	-1.850300e-004	-2.588511e-004	-4.438812e-004
3.080429431051016e+000	9.962585e-001	1.298244e+002	-1.834171e-004	-2.561636e-004	-4.395807e-004
3.109726306051016e+000	1.852106e+000	1.292900e+002	-1.814378e-004	-2.529699e-004	-4.344078e-004
3.139023181051016e+000	2.968709e+000	1.287619e+002	-1.790963e-004	-2.492767e-004	-4.283730e-004
3.168320056051016e+000	4.343702e+000	1.282411e+002	-1.763975e-004	-2.450914e-004	-4.214889e-004
3.197616931051016e+000	5.974175e+000	1.277288e+002	-1.733469e-004	-2.404228e-004	-4.137697e-004
3.226913806051016e+000	7.856675e+000	1.272259e+002	-1.699509e-004	-2.352805e-004	-4.052314e-004
3.256210681051016e+000	9.987215e+000	1.267335e+002	-1.662166e-004	-2.296753e-004	-3.958919e-004
3.285507556051016e+000	1.236129e+001	1.262525e+002	-1.621519e-004	-2.236187e-004	-3.857706e-004
3.314804431051016e+000	1.497386e+001	1.257839e+002	-1.577653e-004	-2.171234e-004	-3.748887e-004
3.344101306051016e+000	1.781940e+001	1.253285e+002	-1.530660e-004	-2.102030e-004	-3.632689e-004
3.373398181051016e+000	2.089189e+001	1.248874e+002	-1.480637e-004	-2.028719e-004	-3.509356e-004
3.402695056051016e+000	2.418482e+001	1.244614e+002	-1.427691e-004	-1.951454e-004	-3.379145e-004
